Tanggal,Konsumsi Kantor,Kantor Pagi,Kantor Sore,Kantor Malam,LWBP TERMINAL,Harga WBP,WBP TERMINAL,Harga LWBP,Total Kwh Terminal,Total Harga Terminal,pax,meter air terminal,konsumsi air,,
1/1/2026,588,10603,10607,10607.9,7358.54," Rp 7,621,828.56 ",1175.79," Rp 1,826,789.65 ",8534.33," Rp 10,114,160.88 ",2959,53694,55.7,,
1/2/2026,744,10607.9,10613,10614.1,15166.86," Rp 8,087,705.41 ",2423.47," Rp 1,938,495.82 ",17590.33," Rp 10,343,810.28 ",2895,53747.5,53.5,,
1/3/2026,648,10614.1,10618.5,10619.5,23419.89," Rp 8,548,349.56 ",3742.44," Rp 2,048,903.95 ",27162.33," Rp 10,908,411.48 ",3907,53805.4,57.9,,
1/4/2026,588,10619.5,10623.5,10624.4,31207.56," Rp 8,066,112.91 ",4986.77," Rp 1,933,320.36 ",36194.33," Rp 10,010,582.88 ",4003,53864.1,58.7,,
1/5/2026,900,10624.4,10630.5,10631.9,39588.39," Rp 8,680,246.33 ",6325.94," Rp 2,080,517.70 ",45914.33," Rp 10,836,547.80 ",3525,53921.4,57.3,,
1/6/2026,900,10631.9,10638,10639.4,48072.71," Rp 8,787,609.43 ",7681.62," Rp 2,106,251.10 ",55754.33," Rp 10,703,967.96 ",3309,53977.8,56.4,,
1/7/2026,936,10639.4,10645.6,10647.2,56525.98," Rp 8,755,750.31 ",9032.35," Rp 2,098,615.00 ",65558.33," Rp 10,784,850.36 ",2826,54033,55.2,,
1/8/2026,768,10647.2,10652.3,10653.6,63847.96," Rp 7,583,939.98 ",10202.37," Rp 1,817,708.31 ",74050.33," Rp 9,439,290.12 ",2806,54087.2,54.2,,
1/9/2026,744,10653.6,10658.6,10659.8,71328.61," Rp 7,748,300.95 ",11397.72," Rp 1,857,103.26 ",82726.33," Rp 9,716,127.60 ",2574,54143.5,56.3,,
1/10/2026,576,10659.8,10663.6,10664.6,78816.18," Rp 7,754,954.51 ",12594.15," Rp 1,858,698.02 ",91410.33," Rp 9,395,035.80 ",3206,54203,59.5,,
1/11/2026,588,10664.6,10668.5,10669.5,86310.59," Rp 7,762,316.09 ",13791.74," Rp 1,860,462.48 ",100102.33," Rp 9,602,485.56 ",2680,54260.9,57.9,,
1/12/2026,876,10669.5,10675.3,10676.8,93453.28," Rp 7,398,245.24 ",14933.05," Rp 1,773,198.81 ",108386.33," Rp 9,265,143.76 ",2405,54316,55.1,,
1/13/2026,912,10676.8,10682.9,10684.4,100547.7," Rp 7,348,255.48 ",16066.63," Rp 1,761,217.02 ",116614.33," Rp 9,199,355.40 ",2392,54371.5,55.5,,
1/14/2026,900,10684.4,10690.4,10691.9,108652.64," Rp 8,394,923.49 ",17361.69," Rp 2,012,126.78 ",126014.33," Rp 10,577,602.80 ",2629,54428.6,57.1,,
1/15/2026,864,10691.9,10697.7,10699.1,116857.57," Rp 8,498,496.22 ",18672.76," Rp 2,036,951.64 ",135530.33," Rp 10,357,925.72 ",2948,54487.8,59.2,,
1/16/2026,636,10699.1,10703.3,10704.4,124569.21," Rp 7,987,552.27 ",19905.12," Rp 1,914,482.59 ",144474.33," Rp 9,813,216.24 ",2737,54548.4,60.6,,
1/17/2026,648,10704.4,10708.7,10709.8,131925.71," Rp 7,619,701.81 ",21080.62," Rp 1,826,279.90 ",153006.33," Rp 9,430,389.20 ",1872,54607.2,58.8,,
1/18/2026,600,10709.8,10713.8,10714.8,139202.85," Rp 7,537,472.96 ",22243.48," Rp 1,806,570.83 ",161446.33," Rp 9,371,882.40 ",2979,54667.2,60,,
1/19/2026,828,10714.8,10720.3,10721.7,146214.47," Rp 7,262,504.60 ",23363.86," Rp 1,740,662.90 ",169578.33," Rp 8,818,665.24 ",2902,54724,56.8,,
1/20/2026,852,10721.7,10727.4,10728.8,154136.65," Rp 8,205,622.25 ",24629.68," Rp 1,966,754.21 ",178766.33," Rp 10,234,292.28 ",2347,54780,56,,
